,Input Index,Position List,Identifier,Input Label,Label Name,BMU Distance
119,132,"[(2, 1), (0, 4)]",TWINST0248-1-2,-1,CONTE-Inlier,0.25386685146754473
120,68,"[(2, 1), (0, 3)]",CONTE0542-1-1,-1,CONTE-Inlier,0.026527478407333615
121,15,"[(2, 1), (0, 2)]",CONTE0184-1-1,-1,CONTE-Inlier,0.3545913313449287
122,140,"[(2, 1), (0, 2)]",TWINST0296-1-2,-1,CONTE-Inlier,0.18694577024578454
123,20,"[(2, 1), (2, 0)]",CONTE0193-1-1,-1,CONTE-Inlier,0.11666702952998442
124,66,"[(2, 1), (2, 1)]",CONTE0531-1-1,-1,CONTE-Inlier,0.9798542470467669
125,4,"[(2, 1), (2, 2)]",CONTE0140-1-1,-1,CONTE-Inlier,0.13443567046078506
126,30,"[(2, 1), (2, 4)]",CONTE0266-1-1,-1,CONTE-Inlier,0.5141715725319359
127,59,"[(2, 1), (2, 4)]",CONTE0460-1-1,-1,CONTE-Inlier,0.2633223344554245
128,116,"[(2, 1), (1, 0)]",TWINST0191-1-1,-1,CONTE-Inlier,0.9923215747274429
129,137,"[(2, 1), (1, 1)]",TWINST0279-1-1,-1,CONTE-Inlier,0.655174346324033
130,126,"[(3, 1), (0, 0)]",TWINST0225-1-1,-1,CONTE-Inlier,0.6111873879209783
131,133,"[(3, 1), (0, 0)]",TWINST0252-1-2,-1,CONTE-Inlier,1.1918694013401383
132,101,"[(3, 1), (3, 0)]",TWINST0107-1-1,-1,CONTE-Inlier,0.016094188650147962
133,32,"[(3, 1), (2, 0)]",CONTE0272-1-1,-1,CONTE-Inlier,1.3395896306566488
134,88,"[(3, 1), (2, 1)]",TWINST0027-1-2,-1,CONTE-Inlier,0.4109108548811052
135,135,"[(3, 1), (2, 1)]",TWINST0256-1-2,-1,CONTE-Inlier,0.3830122730549231
136,91,"[(3, 1), (0, 4)]",TWINST0054-1-2,-1,CONTE-Inlier,0.02527628309289219
137,89,"[(3, 1), (0, 3)]",TWINST0046-2-2,-1,CONTE-Inlier,0.1308920414272835
138,113,"[(3, 1), (0, 3)]",TWINST0181-1-1,-1,CONTE-Inlier,1.567301275892571
139,120,"[(3, 1), (0, 3)]",TWINST0207-1-1,-1,CONTE-Inlier,1.0079536979429888
140,8,"[(3, 1), (1, 4)]",CONTE-TRIOneo-0059-1-1,-1,CONTE-Inlier,0.2749670733238308
141,143,"[(3, 1), (2, 4)]",TWINST0310-1-2,-1,CONTE-Inlier,0.23928370568134558
142,52,"[(3, 1), (3, 4)]",CONTE0393-1-1,-1,CONTE-Inlier,0.05424559197382141
143,103,"[(3, 1), (3, 3)]",TWINST0125-1-2,-1,CONTE-Inlier,0.19203741890309015
144,106,"[(3, 1), (0, 2)]",TWINST0137-1-2,-1,CONTE-Inlier,0.23690199777016835
145,145,"[(3, 1), (2, 2)]",TWINST0316-1-2,-1,CONTE-Inlier,0.94194886211814
146,29,"[(3, 1), (3, 2)]",CONTE0249-1-1,-1,CONTE-Inlier,0.0975699104938232
